sha,message,prediction,probability,true_label,truncated
0003fa6448cdd50a5b692625f8280559f58b0710,"Closes #740. This should fix the segfault.

The segfault happened because SwitchToProgram() didn't
check for the being errored before resuming playback.

This adds that check in SwitchToProgram().

It also adds it to the StartPlaying() loop. This part is just
so that an error message gets displayed before we exit.

For an extra level of paranoia this also adds a check for a null
context pointer in the packet reading portion of GetFrame(). 
This prevents a segfault if GetFrame() is called when there is 
no context pointer; so long as there it is reset clearing any
buffered packets.

There are still remaining problems in LiveTV that I think are 
sufficiently canvased by the existing tickets; this just prevents
a segfault if we switch to an empty file. Addressing the creation
empty files is a seperate issue.



git-svn-id: http://svn.mythtv.org/svn/trunk@8098 7dbf422c-18fa-0310-86e9-fd20926502f2
",BugFix,0.9409458,BugFix,False
00140d193197d6d4e371d5f6bfd410c89702ca5a,"Atari and Odyssey2 support, patch by Bill Soudan.


git-svn-id: http://svn.mythtv.org/svn/trunk@3755 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.9554268,NonBugFix,False
00233f0d1ff32ec8b3ad24cbc6b1f944e8f79452,"Allan Stirling - Add single retry of connection to master backend


git-svn-id: http://svn.mythtv.org/svn/trunk@6647 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.98793566,NonBugFix,False
00243b50d73a14e605fa59e70cb5782ab0b721a9,"[models] Properly respect the return value of the radio group delegate's willShow method.

The logic was inverted.
",BugFix,0.9053828,BugFix,False
00279d8a06bd1f52e9b8e70896585bd16d88e430,"in an operation, inherit the unit of either operand
",BugFix,0.84032965,NonBugFix,False
002d6db966601ce46f688fe8c6ac59f29185f6b5,"Experimental support for mixins with interpolated selectors.
",NonBugFix,0.97406596,NonBugFix,False
003744e9e1b4d4ac88f43e46e0d08275de2f7832,"Pointless char*->QString->char* conversion, which is dangerous in Qt4.
Looks like it has been that way since the original MMon patch [2696].
Much easier to change these instances, and pass char* around,
than change all the method signatures, like in Daniel's patch. See #5596


git-svn-id: http://svn.mythtv.org/svn/trunk@18325 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.947191,NonBugFix,False
0037eefde06cbd16352cafe2c756abdb81bc726e,"[core] Flesh out the metrics tests.
",NonBugFix,0.98192894,NonBugFix,False
003c08dc4880df367b4998cb1ad83c9388b6fd56," My last patch to this got rid of the attempts to load
""No cover"" as a cover file, but also took away
the side effect of it causing a reset of the poster
on the screen.  This resets the poster to blank 
while still not trying to load a non existant poster.





git-svn-id: http://svn.mythtv.org/svn/trunk@6957 7dbf422c-18fa-0310-86e9-fd20926502f2
",BugFix,0.951946,BugFix,False
0041ac6cdbc68df00b0a31cb8b0b468fdebcbb61,"Change the video rating statetype to ten states to match mythmusic and the watch recordings screen.

git-svn-id: http://svn.mythtv.org/svn/trunk@19671 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.9740516,NonBugFix,False
004205015d5f4dcad9d095ed20251b1f96ae53af,"A little more of the new scanner code is in this commit.

Please test DVB scanning in Europe with this commit.

This removes depreciated parts of dvbsignalmonitor, as they
are no longer used in scanwizard. The code now uses the range
and value reporting signals, instead of the old non-range 
reporting signals.

This moves SIScan thread handling code from ScanWizardScanner to SIScan.
Removes the USING_DVB checks on SIScan code in ScanWizard[Scanner] since,
as of  the last scanning checkin, SIScan no longer depends on DVB stuff 
to compile. This also adds some of the pcHDTV v4l scanning code to 
scanwizard, basically everything that doesn't depend on a pcHDTV v4l
enabled SIScan.

Finally, this makes some changes to SIScan, but just header and define
stuff. Everything else depends on using the new FrequencyTable class in
frequencytables.h, but testing by John Pullan seems to indicate that
the new frequency tables are breaking DVB scanning in Europe. So I will
make a patch that just adds the FrequencyTable stuff for testing before
anything goes into svn.



git-svn-id: http://svn.mythtv.org/svn/trunk@6884 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.95857495,NonBugFix,False
004677c4fe512e89b111a88556e2aadf3e5995ad,"Replace gname2Qname with origName2QName
",NonBugFix,0.98357254,NonBugFix,False
004c1747f62c4085fdf55348c5f6f5cdcddc9c1e,"* src/main/clojure/clojure/core/logic.clj: improvements to !=fd
",NonBugFix,0.97615147,NonBugFix,False
00521a7bdd238534f89b55f5e998fd046a68ff14,"Set the painter object before we load OSD windows.


git-svn-id: http://svn.mythtv.org/svn/trunk@27023 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.90913945,BugFix,False
0052b061aad267fe526ea0707cbb6295e1f6b003,"Make the new vsync code optional, dependent on a new setting in the playback
section.


git-svn-id: http://svn.mythtv.org/svn/trunk@1582 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.98033637,NonBugFix,False
0052ded0a918227cb9f62ec892a95082925a6481,"Remove tableView delegates when dealloc.
",NonBugFix,0.92135423,NonBugFix,False
005d0aa94511f1afa309ab6a4a0da55b676c39fc,"Displays Later Showings in the same font as Earlier, Disabled, and other non-recordings states



git-svn-id: http://svn.mythtv.org/svn/trunk@7763 7dbf422c-18fa-0310-86e9-fd20926502f2
",BugFix,0.5719308,NonBugFix,False
0060df80155401c1bf34a0f6f791c193f7825ca1,"Ability to customise album and photo scroll view background colors.
",NonBugFix,0.97471905,NonBugFix,False
00611261c9eff0eb3280217ed570dbe03d8c59e4,"This simplifies and documents the two AddAudioData()
methods in the NVP. 

More importantanly this also prevents AddAudioData(char*...)
from crashing the frontend if ""audio_channels"" is <= 0...
This happens when we transition from a stream with audio
to one without it and a frame is decoded while the audio
params are still being reset.



git-svn-id: http://svn.mythtv.org/svn/trunk@7213 7dbf422c-18fa-0310-86e9-fd20926502f2
",BugFix,0.75325406,NonBugFix,False
00713ca48870d90b4a2d7a45212b22b6e14fd0b4,"[core] Modernize NIIsPad.
",NonBugFix,0.94514394,NonBugFix,False
0086f1babb23b84c56542fdda0ea37a5f1e5443c,Declare `e` properly in `mediaFeature`,BugFix,0.7157058,BugFix,False
008c38e61389e90b4f58305770990c0e75b3b8a9,"Fix suggested by David Abrahams for problems when pkg-config installed,
and syntax warning fix (variable was being redefined)


git-svn-id: http://svn.mythtv.org/svn/trunk@8640 7dbf422c-18fa-0310-86e9-fd20926502f2
",BugFix,0.8693693,BugFix,False
009264f02318358ffde6fb93e9957ba4b4c7c4ec,"* test/logos/test/core.clj: add flatten o test
",NonBugFix,0.96178865,NonBugFix,False
00c43427b078b1f22d7bcdd551a7573a70d88e23,"Add automatically generated version information. Fixes #541.
",NonBugFix,0.96932226,BugFix,False
00d899b6c93e1c63f097d44afa7a3d9c9295aa76," A Couple of fixes for compiling under OpenBSD



git-svn-id: http://svn.mythtv.org/svn/trunk@7241 7dbf422c-18fa-0310-86e9-fd20926502f2
",NonBugFix,0.9477307,BugFix,False
00f3c09f44c99c631b7c6ed4b137e67154735973,".
",BugFix,0.9409912,NonBugFix,False
01117d79ddd65d18766965971717bfbbf84b2b2f,"[models] Take into account images on switch cell layouts.
",NonBugFix,0.96949726,BugFix,False
01147d49b04d26c395d5b3e381110b49f8f6b3c9,"* src/logos/match.clj: sketch
",NonBugFix,0.9660854,NonBugFix,False
01167cb136c84a02fb92b9a7e3f09473ba571967,"bump version
",NonBugFix,0.6400905,NonBugFix,False
011fc0f25352a67fd6e9dc2e688d814bb1517bd3,"Added justify text example, which only works in CoreText
",BugFix,0.5417713,NonBugFix,False
013466705504851f809adbbe8856164fa2182a61,"bump version
",NonBugFix,0.6400905,NonBugFix,False
017bb2c234973a44942b9ae657d4c6f3f3f40601,"Improvements to browser tests that don't raise a false negative when switching branches
",NonBugFix,0.7663911,BugFix,False
01ab6fef7b8bd8546bddc5c3c189d47e22e7b23d,"Add Maybe hack to compiler until order is sorted out.
",NonBugFix,0.9439807,BugFix,False
01ae902eff20b85715f6f4e7616531c4c5f81efc,"chunkify with a zero-width regexp
",BugFix,0.6846106,NonBugFix,False
01eb8eefb36665c1736ac830beaf98d70aea8714,"client initiates heartbeats and detects when connections are stale
",BugFix,0.8745004,NonBugFix,False
01f3fe6dfd39e9a8fd83bb191840d50bc4c91648,"adding references() to compiled unit.

the compiled unit now contains a references() function. the references
is resolved from the compiled units declaration content, not the
compiled content.
",BugFix,0.574216,NonBugFix,False
01f784a733007f24fe7e4d162d985b1a4d460af8,"update to register()
",BugFix,0.8586518,NonBugFix,False
01f796f71eb78891b51a08c4ce82311a3696c7e7,"* src/logos/bench.clj: better formatting
",NonBugFix,0.9419893,NonBugFix,False
01f9ae36706a30a030be58986987c6dbdf8c74a4,"Support block delete , put
",NonBugFix,0.54401857,NonBugFix,False
020cc2cd70052831032ec8b2f286b8caa8ffc1fc,"-pretty flag to jsbeautify output
",NonBugFix,0.6950042,NonBugFix,False
