sha,message,prediction,probability,true_label,truncated
28c3b04e75aaf2f1b33013cecebd38ae0d6a0b88,Introducing a new Directory constructor with a- LocalReference instance.--,NonBugFix,0.66844547,NonBugFix,False
95ba62f83dfa05990d2165484330cdd0792064d8,"Translog: Implement a file system based translog- and make it the default, closes -260.--",BugFix,0.5442474,NonBugFix,False
96a1477d02e29b3002678f4da9ca55184888a54c,HADOOP-6534. Trim whitespace from directory lists- initializing LocalDirAllocator. Contributed by Todd Lipcon--git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@909806 13f79535-47bb-0310-9956-ffa450edef68-,BugFix,0.7521507,NonBugFix,False
8bd2486b519ed6dcdc638843514d9034b7f3c49f,"HADOOP-6148. Implement a fast, pure Java CRC32- calculator which outperforms java.util.zip.CRC32.  Contributed by Todd Lipcon- and Scott Carey--git-svn-id: https://svn.apache.org/repos/asf/hadoop/common/trunk@794944 13f79535-47bb-0310-9956-ffa450edef68-",NonBugFix,0.87607044,NonBugFix,True
a342029d36fc8cdd6be3ab540cd2527ddd022188,"Histogram Facet: Allow to define a key field and- value script, closes -517.--",BugFix,0.5477447,NonBugFix,False
a6fa02a07fe374204e9e02914ccf1cc9812aa5ba, - Initial code for new default HTTP connector and- SIP connector.--,BugFix,0.77677023,NonBugFix,False
9aa093303a2580c5cd165e95b0d59062ec9ec835, - Initial code for new default HTTP connector and- SIP connector.--,NonBugFix,0.5640581,NonBugFix,False
0ed50ca00c1d9abacff4f667afa3d366c9b04e01,"NullPointerException for invalid faceted query,- closes -1136.--",BugFix,0.7615729,NonBugFix,False
0ace17c659c5e73c9de4003718ba4860bfa3be43, - Initial code for new default HTTP connector and- SIP connector.--,BugFix,0.517245,NonBugFix,False
a376c8da9d3fa0e8b600b69cdc30c9fb0d303709,HBASE-12366 Add login code to HBase Canary tool- (Srikanth Srungarapu)--,NonBugFix,0.94400305,NonBugFix,True
6ed722529007866fd89f6d996b8be5f4129c27a5,HBASE-3167 HBase Export: Add ability to export- specific Column Family; Turn Block Cache off during export; improve usage doc--git-svn-id: https://svn.apache.org/repos/asf/hbase/trunk@1028546 13f79535-47bb-0310-9956-ffa450edef68-,NonBugFix,0.9202386,NonBugFix,False
d9a4fb410d6608260a597b1d72b9153c585caa5d,"Introduce ""dummy"" Environment implementation--For testing purposes in which an Environment implementation is required-but a ConfigurableEnvironment is not desirable.--All methods are no-ops and return null, therefore NPEs are likely.-",NonBugFix,0.94536865,NonBugFix,True
1eee950ac167c1bc02918819c84e6cccb9eebb5f,OPLA: supported invocation of Java static methods--,NonBugFix,0.73814327,NonBugFix,True
a7e7e662aec3201493c48b78be0ec0a7ef3cfbbe,Added parsing of RDF XML.--,NonBugFix,0.5591538,NonBugFix,False
2d6a57d5727d4db527caffd7827d60bb2e303846,CAMEL-3014 camel-josql should have SQL language- META-INF which can be found automatically by camel-core--git-svn-id: https://svn.apache.org/repos/asf/camel/trunk@980675 13f79535-47bb-0310-9956-ffa450edef68-,NonBugFix,0.874214,NonBugFix,True
